ID,Parameter_ID,Language_ID,Value,Source
semantic-water-1087,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1088,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1089,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1090,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1103,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1108,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-body-1110,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-water-1110,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1118,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-1128,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-1129,semantic-field,wbv,body-part,Wajarri Dictionary
compound-1137,word-formation,wbv,compound,Wajarri Dictionary
reduplication-1151,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-1152,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-body-1153,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-water-1153,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1154,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1155,semantic-field,wbv,water/liquid,Wajarri Dictionary
compound-1156,word-formation,wbv,compound,Wajarri Dictionary
reduplication-1157,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-1169,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-1174,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1175,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1180,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1196,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-1199,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-1200,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1203,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1204,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1205,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1213,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-1215,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-1233,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-1234,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-1235,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1236,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-1240,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-1243,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-1248,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-1252,word-formation,wbv,compound,Wajarri Dictionary
reduplication-1255,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-1258,word-formation,wbv,compound,Wajarri Dictionary
semantic-person-1267,semantic-field,wbv,person/human,Wajarri Dictionary
compound-1268,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-1271,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1273,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-1288,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-1289,word-formation,wbv,compound,Wajarri Dictionary
compound-1291,word-formation,wbv,compound,Wajarri Dictionary
semantic-person-1292,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-1293,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-1301,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-1319,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1320,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1321,semantic-field,wbv,person/human,Wajarri Dictionary
compound-1322,word-formation,wbv,compound,Wajarri Dictionary
reduplication-1325,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-1325,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-1333,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-1336,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-1364,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-body-1386,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-person-1394,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1395,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1401,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-1415,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-1417,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-body-1418,semantic-field,wbv,body-part,Wajarri Dictionary
compound-1423,word-formation,wbv,compound,Wajarri Dictionary
semantic-body-1433,semantic-field,wbv,body-part,Wajarri Dictionary
compound-1435,word-formation,wbv,compound,Wajarri Dictionary
reduplication-1438,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-1463,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1470,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1487,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-1491,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-1494,word-formation,wbv,compound,Wajarri Dictionary
compound-1523,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-1541,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1549,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1556,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1560,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1561,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1568,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1575,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1581,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1593,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1610,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1611,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-1612,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-1612,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1613,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1613,semantic-field,wbv,water/liquid,Wajarri Dictionary
