slug,name,family,macroarea,glottocode,iso639_3,austlang,lat,lon,coord_provenance,coord_approximate,tier,endangerment,grammar_profiled,grammar_feature_count,lexicon_state,word_count,deep_time_divergence_bp,classification_chain
murr1257,Murrungun,Pama-Nyungan,Australia,murr1257,,,-12.462,134.82,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Yuulngu > Western-Inland Yolngu > Djinang
murr1258,Murriny Patha,Southern Daly,Australia,murr1258,mwf,N1;N227;N3;N34,-14.74852,129.70152,glottolog,false,documented,shifting,true,174,pointer_only,,,Southern Daly
murr1259,Murrinhpatha,Southern Daly,Australia,murr1259,,,-14.74852,129.70152,glottolog,false,classified,unknown,false,,none,,,Southern Daly > Murriny Patha
murr1260,Murrinhdiminin,Southern Daly,Australia,murr1260,,N159,-14.74852,129.70152,glottolog,false,documented,unknown,false,,pointer_only,,,Southern Daly > Murriny Patha
murr1261,Murrinhkura,Southern Daly,Australia,murr1261,,N158,-14.74852,129.70152,glottolog,false,documented,unknown,false,,pointer_only,,,Southern Daly > Murriny Patha
muru1266,Muruwari,Pama-Nyungan,Australia,muru1266,zmu,D32,-28.9618,146.546,glottolog,false,comprehensive,extinct,true,214,open_resource,2,2081.9,Pama-Nyungan > Southeastern Pama-Nyungan > New South Wales Pama-Nyungan > Muruwaric
n105,Gulunggurr,unclassified,Australia,,,N105,,,none,,listed,unknown,false,,pointer_only,,,
n110,Lurlmarangu,unclassified,Australia,,,N110,,,none,,listed,unknown,false,,pointer_only,,,
n113,Galwanuk,unclassified,Australia,,,N113,,,none,,listed,unknown,false,,pointer_only,,,
n116.a,Bilin,unclassified,Australia,,,N116.A,,,none,,listed,unknown,false,,pointer_only,,,
n116.b,Birdingal,unclassified,Australia,,,N116.B,,,none,,listed,unknown,false,,pointer_only,,,
n116.c,Birrkili,unclassified,Australia,,,N116.C,,,none,,listed,unknown,false,,pointer_only,,,
n116.d,Dholpuyngu,unclassified,Australia,,,N116.D,,,none,,listed,unknown,false,,pointer_only,,,
n116.g,Ding Ding,unclassified,Australia,,,N116.G,,,none,,listed,unknown,false,,pointer_only,,,
n116.h,Djamundja,unclassified,Australia,,,N116.H,,,none,,listed,unknown,false,,pointer_only,,,
n116.j,Djirin,unclassified,Australia,,,N116.J,,,none,,listed,unknown,false,,pointer_only,,,
n116.l,Maydyara / Maidjara,unclassified,Australia,,,N116.L,,,none,,listed,unknown,false,,pointer_only,,,
n116.m,Malardordo,unclassified,Australia,,,N116.M,,,none,,listed,unknown,false,,pointer_only,,,
n116.p,Mandjikai,unclassified,Australia,,,N116.P,,,none,,listed,unknown,false,,pointer_only,,,
n116.s,Miliwuru,unclassified,Australia,,,N116.S,,,none,,listed,unknown,false,,pointer_only,,,
n116.u,Narrkala,unclassified,Australia,,,N116.U,,,none,,listed,unknown,false,,pointer_only,,,
n116.v,Raijang,unclassified,Australia,,,N116.V,,,none,,listed,unknown,false,,pointer_only,,,
n116.w,Ralwia,unclassified,Australia,,,N116.W,,,none,,listed,unknown,false,,pointer_only,,,
n116.y,Nungudulbuy,unclassified,Australia,,,N116.Y,,,none,,listed,unknown,false,,pointer_only,,,
n123,Bunanatjini,unclassified,Australia,,,N123,,,none,,listed,unknown,false,,pointer_only,,,
n124,Dhämalamirr,unclassified,Australia,,,N124,,,none,,listed,unknown,false,,pointer_only,,,
n125,Gigi,unclassified,Australia,,,N125,,,none,,listed,unknown,false,,pointer_only,,,
